CODE,title,description,url,t_rex
COM 312,Theories of Mass Media,"A survey of contemporary communications theory defining the language, structure, systems, effects, and rhetoric of the mass media. Practical examples in journalism, advertising, publishing, radio, television, and film will be analyzed.",https://csi-undergraduate.catalog.cuny.edu/courses/0625561,https://explorer.cuny.edu/receiving-course/062556/1
COM 313,Principles of Editorial Design: Integration of Writing and Graphics,"Emphasis on the integration of publication design, graphics, information organization, and language. Course topics focus on various formats of multi-page layout design for print, their meaning and significance; editorial concepts, and the publication process. Further emphasis is placed on group organization, collaboration, and co-authorship.",https://csi-undergraduate.catalog.cuny.edu/courses/0625571,https://explorer.cuny.edu/receiving-course/062557/1
COM 314,Media Workshop for Actors/Directors,"An examination of the actor/director relationship as it applies in the various media: stage, film, and television. Students will have an opportunity to work both as actors and directors. New work from writing classes will be encouraged for student projects.",https://csi-undergraduate.catalog.cuny.edu/courses/0630282,https://explorer.cuny.edu/receiving-course/063028/2
COM 315,Media Analysis,"An intensive theory and writing course introducing students to diverse approaches to media analysis, from semiotics, psychoanalysis, intertextuality, and discourse analysis. Students explore ways to read and understand different kinds of media texts, including print, audio, visual, and digital texts. Students will also learn to explore and explain their ideas and arguments in writing about media texts.",https://csi-undergraduate.catalog.cuny.edu/courses/0625591,https://explorer.cuny.edu/receiving-course/062559/1
COM 316,Radio/Tv Performance,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0625601,https://explorer.cuny.edu/receiving-course/062560/1
COM 317,Information Design,"An exploration of the relationship between form and information. This course examines systems for organizing and presenting effective, efficient, and understandable information. Students will learn and employ vector-based computer illustration software to complete their assignments.",https://csi-undergraduate.catalog.cuny.edu/courses/0625611,https://explorer.cuny.edu/receiving-course/062561/1
COM 318,Advanced TV Studio Production,"An advanced workshop in the techniques and concepts of live studio production. This course emphasizes a disciplined approach to practical application, the ability to work in production crews, and critical thinking as it relates to audience, message, and aesthetic choices.  Students develop works through individual and group productions acquainting them with industry standards.",https://csi-undergraduate.catalog.cuny.edu/courses/1092922,https://explorer.cuny.edu/receiving-course/109292/2
COM 320,Motion Graphics,"A course focusing on the language and tools of motion graphics. Emphasis is on the construction of image, typography, and accelerated sequences, as well as historical and theoretical topics. Students will learn to integrate sound and image as they develop and storyboard their projects.",https://csi-undergraduate.catalog.cuny.edu/courses/0625621,https://explorer.cuny.edu/receiving-course/062562/1
COM 325,East Asian Popular Cultures,"An examination of different forms of popular culture in East Asian from historical, sociological, anthropological and media studies perspectives. Looking at TV drama, cinema, animation, music, fashion and fast food, the course investigate how popular culture works and how it shapes people's lives. In particular, how are cultural forms communicated and circulated in different places, in regional as well as global contexts and how do local dynamics re-shape the forms? Seeing popular culture as terrains of power struggles and articulation, we will explore how class, gender and national identities are constructed and contested through popular culture that is in turn shaped by these social relationships in specific political and historical contexts.",https://csi-undergraduate.catalog.cuny.edu/courses/1285602,https://explorer.cuny.edu/receiving-course/128560/2
COM 326,Japanese Cinema: Theory & History,"A survey of Japanese cinema from its prehistory to the present, interrogating the relationship between cinema and Japanese society through familiar concepts such as auteur, genre, national characteristics and ethnicity, gender and racial hierarchy, culture, Tradition vs. Modernity, the East and the West. We will focus on both historical specificities of Japan and formal aspect of filmic texts. Defining cinema as a social practice, our discussion will cover ideological negotiations involved in film exhibition and identity formation.",https://csi-undergraduate.catalog.cuny.edu/courses/1285772,https://explorer.cuny.edu/receiving-course/128577/2
COM 328,Sports Media,"Investigates the social uses and cultural meanings of sport and sports media, which are integral components of global media industries, from the production of spectacles to sport-related videogaming and e-sports, from the cultivation of brand identities to the formation of fan cultures. As sports are increasingly experienced through media -- even when fans attend a game in-person they are often surrounded by video screens within the stadium -- this course explores how, rather than merely showing us sporting events, media actively creates many of the values, beliefs, feelings, and problems that we associate with sports, including contests over the meanings of race, class, gender, and sexuality.",https://csi-undergraduate.catalog.cuny.edu/courses/1545861,https://explorer.cuny.edu/receiving-course/154586/1
COM 330,Data Visualization,"Explores the principles and techniques of data visualization, the art and science of transforming data into visual graphic form. This interdisciplinary course emphasizes the journalistic possibilities, visual power, political persuasiveness, and ethical considerations of visualizing data. Students will learn theories and techniques of data visualization through critical analysis of theoretical and practical texts alongside their hands-on work. Students will learn how to process open data, and select the most effective visualization, all the while thinking critically about how each of their design decisions influences the meaning of their visualization.",https://csi-undergraduate.catalog.cuny.edu/courses/1522201,https://explorer.cuny.edu/receiving-course/152220/1
COM 332,History and Theory of Advertising and Public Relations,"The history of advertising and public relations in the United States. This course explores theories regarding their implications in relation to media institutions, politics, public opinion, society, and culture.",https://csi-undergraduate.catalog.cuny.edu/courses/0625631,https://explorer.cuny.edu/receiving-course/062563/1
COM 335,"Social Justice, Antiracism, and Activist Media","Examines the role of media in contemporary movements for social justice and antiracism. While protest movements are often launched and galvanized on the street, and have historically used media to circulate their messages, in the 21st century, social media, messaging apps, and smartphone cameras are tools of community organizing, sites of expression, and technologies of surveillance. This course asks students to consider how consumer-grade media can be used to document injustice and advocate for social change, and how mainstream and alternative media represent protest movements. For African and African Diaspora Studies majors and minors, this is designated as a United States course and fulfills the requirement for 300-level courses.",https://csi-undergraduate.catalog.cuny.edu/courses/1514981,https://explorer.cuny.edu/receiving-course/151498/1
COM 341,Communications Design Workshop,"An examination of theoretical and practical approaches to visual culture. This course focuses on the role of subject, voice, and audience in determining appropriate visual and verbal forms. Through the use of various digital techniques, students will produce graphic and conceptual design projects where layers of meaning are created through the combination of images and text.",https://csi-undergraduate.catalog.cuny.edu/courses/0625641,https://explorer.cuny.edu/receiving-course/062564/1
COM 351,Digital Imaging II,"An advanced creative, practical, and theoretical study of digital imaging as it is used in visual communication. Students will enhance their understanding of design and visual practice through thematic digital imaging assignments. Technical topics include advanced features of hardware and software and digital camera use. Theoretical concerns focus on the evolution of digital imagery, digital photography, and representation.",https://csi-undergraduate.catalog.cuny.edu/courses/0625651,https://explorer.cuny.edu/receiving-course/062565/1
COM 370,"Web Design, Graphics, and Theory","An exploration of web design, new media, digital culture, and cyberspace. This course is concerned with the technical skills of web design and development, and the theoretical implications of Web-based design. Students will create projects employing Web design software. Along with production, COM 370 focuses on the psychological, cultural, social, economic, and political relationships associated with Internet culture.",https://csi-undergraduate.catalog.cuny.edu/courses/0625661,https://explorer.cuny.edu/receiving-course/062566/1
COM 371,Media and the Margins,"An examination of the role of the mass media as cultural institutions that shape the images and self-images of marginalized groups. The course engages with definitions based on, but not limited to, age, disability, ethnicity, gender, race, and sexuality.",https://csi-undergraduate.catalog.cuny.edu/courses/0625671,https://explorer.cuny.edu/receiving-course/062567/1
COM 374,Mass Media in Modern Society,"Sociological analysis of the mass media: their comparative histories and organizations, and their political and social effects. Attention will be given to their persuasive role in propaganda and public opinion, as well as to their function in providing information and entertainment for the common culture.",https://csi-undergraduate.catalog.cuny.edu/courses/0625681,https://explorer.cuny.edu/receiving-course/062568/1
COM 380,"Web Design, Interaction, and Theory","Focusing on the best practices of interaction design. Will cover diverse techniques and approaches to creating meaningful experiences on interactive platforms.  Students will create interactive experiences and interfaces through research, concept, creation, and the prototyping and development process.  the course covers cultural, historical, and theoretical topics as well as current trends in digital technologies and internet culture.  the course includes readings, screenings, presentations, lectures, group and individual critiques, and hands-on technical workshops and assignments.",https://csi-undergraduate.catalog.cuny.edu/courses/0625691,https://explorer.cuny.edu/receiving-course/062569/1
COM 390,Media Internship,"An internship work and learning experience with a media organization or in positions engaging in communications practices. This may include work in the production, distribution, or exhibition of media material, as well as in public relations and advertising. Students are required to keep a work journal, and write an analytical paper of their work experience. This course may be repeated for credit.",https://csi-undergraduate.catalog.cuny.edu/courses/0625701,https://explorer.cuny.edu/receiving-course/062570/1
COM 410,Media Administration,"A course dealing with the skills and concepts necessary for the competent management of a media production department. Topics include production planning and control, cost analysis procedures, contract and copyright law in relation to the media, and organization theory.",https://csi-undergraduate.catalog.cuny.edu/courses/0625731,https://explorer.cuny.edu/receiving-course/062573/1
COM 412,Broadcast Journalism,"An introduction to the theory, history, and practice of modern newscasting. The class will also focus on the way that traditional broadcast is converging with digital video production and distribution in the creation of news. Special emphasis will be placed on preparing material for broadcast on radio, television, and online. Readings will explore the economic realities of broadcasting, legal sanctions, and social impact. Students will monitor newscasts, analyze them, and write copy suitable for broadcast. For students wishing to register for the course COM 100 is recommended.",https://csi-undergraduate.catalog.cuny.edu/courses/0625741,https://explorer.cuny.edu/receiving-course/062574/1
COM 415,Media Audiences,"A comparison of industry and scholarly approaches to understanding media audiences and media effects, focusing on the medium of television. This course also draws cases from film, radio, and new media. We will examine the tools of media industry audience research (such as audience measurement, ratings systems, and focus groups), as well as critical scholarship on the social impact of the fragmentation of the mass audience, and the results of ethnographic audience research.",https://csi-undergraduate.catalog.cuny.edu/courses/0625751,https://explorer.cuny.edu/receiving-course/062575/1
COM 420,Global Media,"An examination of contemporary media as global phenomena, stressing the multidirectionality of media flows, influences, power, and practices. Students explore global connections in different media, including print, electronic, audio, visual, television, film, as well as the interconnectedness of these media on a global scale.",https://csi-undergraduate.catalog.cuny.edu/courses/0625761,https://explorer.cuny.edu/receiving-course/062576/1
COM 425,Media Regulation,"A survey of the regulation of media, including print, film, and telecommunications in the United States. The course examines the history of media regulation in terms of both the structure of media industries and their contents, including the First Amendment rights extended to individual expression and print, censorship and the limitations placed on broadcasting; the governance of intellectual property, in copyright and fair use laws; the role of the Federal Communications Commission, trends in de- and re-regulation in recent decades, and the role of regulations in developing new media such as the Internet.",https://csi-undergraduate.catalog.cuny.edu/courses/0625771,https://explorer.cuny.edu/receiving-course/062577/1
COM 432,Corporate Communications Practices,"An extensive examination of corporate communications and public relations approaches, and their application. Case studies and examples of a variety of corporate communications practices will be analyzed in terms of their meaning, purposes, and targeted publics to study and develop skills in building communications strategies, tactics, and execution techniques. Students will work on projects dealing with the planning and execution of strategic communications.",https://csi-undergraduate.catalog.cuny.edu/courses/0625781,https://explorer.cuny.edu/receiving-course/062578/1
COM 438,Newspaper Reporting,"An introduction to the theory, history, and practice of modern reportorial journalism. The class will focus on the way that traditional newswriting is converging with other media forms online, yet remains a skill of its own with specific needs, ethics, and best practices. For students wishing to register for the course COM 100 is recommended.",https://csi-undergraduate.catalog.cuny.edu/courses/0625791,https://explorer.cuny.edu/receiving-course/062579/1
COM 445,Journalism and Society,"Learning to read and write the news. Analysis of the ways in which news stories define our understanding of society. The course will consider both the effect of print and broadcast journalism on politics, values, and social standards and the pressures on the press that define its values. Topics vary from term to term.",https://csi-undergraduate.catalog.cuny.edu/courses/0625801,https://explorer.cuny.edu/receiving-course/062580/1
COM 446,Digital Design for Journalists,"Digital design skills needed for developing skills in writing for traditional electronic media (such as radio and television) as well as new media (such as the Internet). This writing-intensive course emphasizes the translation of ideas into written text or spoken dialogue appropriate to the medium, genre, and target audience, as well as treatments, proposals, and other forms of pre-production writing.",https://csi-undergraduate.catalog.cuny.edu/courses/1144131,https://explorer.cuny.edu/receiving-course/114413/1
COM 450,Senior Seminar in Communications Research,"The capstone class for communications majors. The course provides an overview of communications research and introduces students to basic research procedures, paradigms, and methods. Students learn research goals, methodologies, and strategies in communications. They use these tools to formulate a research problem of their own and to conduct research in libraries, through media resources, and through fieldwork.",https://csi-undergraduate.catalog.cuny.edu/courses/0625811,https://explorer.cuny.edu/receiving-course/062581/1
COM 451,Advanced Design and Digital Media Workshop,Workshop course designed for advanced students to complete extended projects. The students will apply their mastery of the concepts and skills of design and digital media to one large project or body of work; this work will be proposed by the student and agreed upon by the professor.,https://csi-undergraduate.catalog.cuny.edu/courses/0625821,https://explorer.cuny.edu/receiving-course/062582/1
COM 465,Writing for the Media,"Developing skills in writing for traditional electronic media (such as radio and television) as well as new media (such as the Internet). This writing-intensive course emphasizes the translation of ideas into written text or spoken dialogue appropriate to the medium, genre, and target audience, as well as treatments, proposals, and other forms of pre-production writing.  For English majors and minors, this is designated as a writing course.",https://csi-undergraduate.catalog.cuny.edu/courses/0643152,https://explorer.cuny.edu/receiving-course/064315/2
COM 480,Studies in Advanced Journalism,"Analysis of the techniques required for good feature writing, magazine writing, personal journalism, investigative reporting, interviewing, etc. Overview of the changing journalism environment and the techniques and skills necessary to build a successful journalism organization. Overview of the job and skills of a news editor. Emphasis amongst these different options varies from term to term.",https://csi-undergraduate.catalog.cuny.edu/courses/0625851,https://explorer.cuny.edu/receiving-course/062585/1
COM 492,Senior Project for Design and Digital Media,Advanced individual exploration of techniques and principles introduced in 200- and 300-level design and digital media courses. This course provides the opportunity for students to develop cohesive portfolios to a quality required for entry-level positions in the field. Critiques of student work will be held with fellow students and the faculty advisor periodically throughout the semester. Prerequisites: Senior standing and COM 250 and COM 370. Pre- or corequisite: COM 314 or COM 341 or COM 317 or COM 320 or COM 317 or COM 380.,https://csi-undergraduate.catalog.cuny.edu/courses/0625871,https://explorer.cuny.edu/receiving-course/062587/1
COM 513,African American Media,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/1216431,https://explorer.cuny.edu/receiving-course/121643/1
COM 591,Cinema Independent Study,Independent Study is defined as an individual library or laboratory research or creative arts project under the direct supervision of a fulltime faculty member. All Independent Study courses will be designated as liberal arts and sciences courses.,https://csi-undergraduate.catalog.cuny.edu/courses/0625921,https://explorer.cuny.edu/receiving-course/062592/1
COM 592,Cinema Independent Study,Independent Study is defined as an individual library or laboratory research or creative arts project under the direct supervision of a fulltime faculty member. All Independent Study courses will be designated as liberal arts and sciences courses.,https://csi-undergraduate.catalog.cuny.edu/courses/0625931,https://explorer.cuny.edu/receiving-course/062593/1
COM 593,Cinema Independent Study,Independent Study is defined as an individual library or laboratory research or creative arts project under the direct supervision of a fulltime faculty member. All Independent Study courses will be designated as liberal arts and sciences courses.,https://csi-undergraduate.catalog.cuny.edu/courses/0625941,https://explorer.cuny.edu/receiving-course/062594/1
COM 594,Cinema Independent Study,Independent Study is defined as an individual library or laboratory research or creative arts project under the direct supervision of a fulltime faculty member. All Independent Study courses will be designated as liberal arts and sciences courses.,https://csi-undergraduate.catalog.cuny.edu/courses/0625951,https://explorer.cuny.edu/receiving-course/062595/1
COM 596,Communications Internship,Communications Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0625961,https://explorer.cuny.edu/receiving-course/062596/1
COM 597,Com Internship,Com Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0625971,https://explorer.cuny.edu/receiving-course/062597/1
COM 598,Com Internship,Com Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0625981,https://explorer.cuny.edu/receiving-course/062598/1
COPT 1000,Pathways College Option,Satisfies Pathways College Option,https://csi-undergraduate.catalog.cuny.edu/courses/1226751,https://explorer.cuny.edu/receiving-course/122675/1
COPT 1000R,Pathways College Option Reviewed,Pathways College Option Reviewed,https://csi-undergraduate.catalog.cuny.edu/courses/1493261,https://explorer.cuny.edu/receiving-course/149326/1
COR 100,"United States: Issues, Ideas, and Institutions","An introduction to contemporary America's constitutional democracy, multiracial society, and market economy, using the tools of the social sciences. The course seeks historical perspective by examining three formative periods in U.S. history: the American Revolution and debate over the Constitution, the African American freedom struggle from slavery through the civil rights movement, and the evolving relationship between government regulation and the market economy during the 20th century. The course is intended to develop logical, critical thought and expression.. (liberal arts & sciences) (requires ) (FUSR)",https://csi-undergraduate.catalog.cuny.edu/courses/0626011,https://explorer.cuny.edu/receiving-course/062601/1
CSC 100,Computers & Society,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626431,https://explorer.cuny.edu/receiving-course/062643/1
CSC 102,Computers for Today,"Basic computer concepts including hardware, operating systems, application software (word processing, spreadsheets, and database manager), networks, and the Internet. Internet protocols, Internet, intranets and the Web, Web development, multimedia, research, privacy, cyber security, e-commerce, and ethical issues. Not open to students who have successfully completed a 200-level computer course or BUS 150.  Prerequisite:  Appropriate  Math placement or MTH 015 or MTH 020",https://csi-undergraduate.catalog.cuny.edu/courses/0626441,https://explorer.cuny.edu/receiving-course/062644/1
CSC 104,Lang & Computers,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626451,https://explorer.cuny.edu/receiving-course/062645/1
CSC 106,Computers Perspctves,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626461,https://explorer.cuny.edu/receiving-course/062646/1
CSC 108,Intro To Ms-Dos,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626471,https://explorer.cuny.edu/receiving-course/062647/1
CSC 112,Introduction to Word Processing,"1 class hour, 2 laboratory hours - 7 weeks; 1 credit. The latest version of a popular word processing program will be taught. Topics will include creating and editing a file, using the speller and the thesaurus, formatting, printing, merging, footnotes, and macros. Not open to students who have successfully completed CSC 102.",https://csi-undergraduate.catalog.cuny.edu/courses/0626491,https://explorer.cuny.edu/receiving-course/062649/1
CSC 114,Elements of Computer Programming for the Technologies,"Elements of computer programming for the technologies; arithmetic and logical operations and functions, comparison operators, loops, subroutines, input and output. Programs will be written in a higher-level computer language. Specialized packages for technological applications will be used. Pre- or corequisite: MTH 123 or MTH 125.",https://csi-undergraduate.catalog.cuny.edu/courses/0626501,https://explorer.cuny.edu/receiving-course/062650/1
CSC 115,Introduction to Computer Technology,"An introduction for non-science students to fundamental concepts in computers and technology including information representation, development and application of algorithms, network and communication principles, and critical evaluation of technology tools. Not open to students who have taken CSC 119.  (liberal arts and sciences) (scientific analysis). (flexible) Prerequisite: MTH 015 or MTH 020 or an appropriate math placement. Corequisite: CSC 117",https://csi-undergraduate.catalog.cuny.edu/courses/0626511,https://explorer.cuny.edu/receiving-course/062651/1
CSC 116,Introduction to Database,"1 class hour, 2 laboratory hours - 7 weeks; 1 credit. The latest version of a widely used database program will be taught. Topics will include creating and editing a file, sorting and indexing, printing reports and labels. Not open to students who have successfully completed CSC 102. Prerequisite: Appropriate math placement.",https://csi-undergraduate.catalog.cuny.edu/courses/0626521,https://explorer.cuny.edu/receiving-course/062652/1
CSC 117,Computer Technology Lab,A laboratory experience illustrating the principles and topics in CSC 115.  Not open to students who have taken CSC 119. (scientific analysis),https://csi-undergraduate.catalog.cuny.edu/courses/1208961,https://explorer.cuny.edu/receiving-course/120896/1
CSC 118,Introduction to Spreadsheets,"1 class hour, 2 laboratory hours - 7 weeks; 1 credit. The latest version of a widely used spreadsheet program will be taught. Topics will include creating and problem solving using spreadsheets, entering data and formulas, correcting errors, the range, copy and formatting instructions, printing, tables, and graphs. Not open to students who have successfully completed CSC 102. Prerequisite:  Appropriate math placement.",https://csi-undergraduate.catalog.cuny.edu/courses/0626531,https://explorer.cuny.edu/receiving-course/062653/1
CSC 119,Computer Technology Concepts,"An introduction to the concepts of representation, storage, usage, retrieval and protection of data in the digital world. (Flexible Core) Not open to students who have taken CSC 115.",https://csi-undergraduate.catalog.cuny.edu/courses/1186771,https://explorer.cuny.edu/receiving-course/118677/1
CSC 122,Computer and Windows,"This course will introduce the novice to the essentials of Windows usage. Topics will include controlling the Windows graphical environment, customizing the desktop, screensavers, running programs, copying data between programs, and managing files with the File Manager. The supplied programs of Windows, the accessories, will be explored: Write, Terminal, Paintbrush, Notepad, Cardfile, Recorder, Calendar, and Calculator. Groups and the installation of programs will be taught. Not open to students who have completed CSC 326 or above.",https://csi-undergraduate.catalog.cuny.edu/courses/0626551,https://explorer.cuny.edu/receiving-course/062655/1
CSC 126,Introduction to Computer Science,"Computing and information processing. Basic computer structure. Programming methodology: analysis, design, documentation, implementation, and evaluation. Algorithmic approach to problem solving. Computer solutions of several numerical and non-numerical problems. (SW)(STEM)",https://csi-undergraduate.catalog.cuny.edu/courses/0626561,https://explorer.cuny.edu/receiving-course/062656/1
CSC 135,Introduction to Information Systems,"A hands-on laboratory course in the effective use of technology tools for problem solving. Students will understand how copyright laws apply to software and the need to acknowledge material from outside sources, including online material and the work of others.",https://csi-undergraduate.catalog.cuny.edu/courses/0621232,https://explorer.cuny.edu/receiving-course/062123/2
CSC 140,Computational Problem Solving in Python,"An introduction to computer programming using python, including basic computational concepts, and analytical techniques for problem solving. in liberal arts, physical and social science fields, and lab applications. Course includes an overview of the current social and ethical issues and their impacts to on society in cyber the digital age.",https://csi-undergraduate.catalog.cuny.edu/courses/1209211,https://explorer.cuny.edu/receiving-course/120921/1
CSC 141,Computational Problem Solving in Python Laboratory,This course is the lab corequisite for CSC 140 (also ISI 140). (scientific analysis) (COPR).,https://csi-undergraduate.catalog.cuny.edu/courses/1209221,https://explorer.cuny.edu/receiving-course/120922/1
CSC 162,Operations I,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626581,https://explorer.cuny.edu/receiving-course/062658/1
CSC 205,Basic Desktop Publishing,"A hands-on course designed to provide a practical introduction to the basics of text formatting and design. Text and graphics will be combined to produce printer-ready pages for publication. Topics will stress the transformation of otherwise plain-looking documents into professional-looking, more readable copy. Typefaces, type styles, type sizes and page layouts will be explored.",https://csi-undergraduate.catalog.cuny.edu/courses/0626611,https://explorer.cuny.edu/receiving-course/062661/1
CSC 210,Applications Programming,Application of programming techniques to problems in business and data processing. State-of-the-art software packages to analyze and manipulate data for standard business applications will be taught.,https://csi-undergraduate.catalog.cuny.edu/courses/0626621,https://explorer.cuny.edu/receiving-course/062662/1
CSC 211,Intermediate Programming,"A second course in programming. Programming techniques emphasizing reliability, maintainability, and reusability. Module design and multi-file programs. Abstract data types. Data representation and conversion. Addresses, pointers, and dynamic storage allocation. Recursion and function parameters. User interface design. Prerequisite: CSC 126 with a grade C or better and MTH 123 or MTH 125 (or higher: specifically MTH 130, 221, 230, 231, or 235)..",https://csi-undergraduate.catalog.cuny.edu/courses/0626631,https://explorer.cuny.edu/receiving-course/062663/1
CSC 212,Cobol Programming,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626641,https://explorer.cuny.edu/receiving-course/062664/1
CSC 215,Assistive Technology for Universal Applications,"An overview of the technological needs and the laws for accommodating persons with disabilities; descriptions of the technologies for persons with disabilities (blindness/visual impairments, audiological disabilities, physical disabilities, and cognitive disabilities); technologies used in the classroom, industry, independent living, and social interactions; training programs for these technologies. Hands-on labs with the appropriate technologies will be utilized.",https://csi-undergraduate.catalog.cuny.edu/courses/1186881,https://explorer.cuny.edu/receiving-course/118688/1
CSC 220,Computer Organization,"An introduction to computer systems, organizations, their underlying subsystems and architectures. Specific topics include binary, octal, decimal and hexadecimal number systems, unsigned and signed integers, instruction set architectures, instruction format, machine language, assembly language programming, Boolean expressions, interrupts, data transfers, logical and arithmetic operations, procedures and conditional processing.",https://csi-undergraduate.catalog.cuny.edu/courses/0626651,https://explorer.cuny.edu/receiving-course/062665/1
CSC 221,Networking and Security,"An introduction to computer networking and communication basics, incorporating principles and practice in secure computing. Specific topics include data communication basics, network structures, IP, TCP, application protocols, confidentiality, integrity and availability principles, software security, network security, and defense mechanisms.",https://csi-undergraduate.catalog.cuny.edu/courses/1545761,https://explorer.cuny.edu/receiving-course/154576/1
CSC 223,Cybersecurity Fundamentals,Fundamentals of cybersecurity including offensive and defensive skills developed through hands-on experience. Course includes identification and analysis of common cybersecurity vulnerabilities for potential attacks. This course provides a solid foundation for building a career in cybersecurity or advancing study in the cybersecurity field.,https://csi-undergraduate.catalog.cuny.edu/courses/0626661,https://explorer.cuny.edu/receiving-course/062666/1
CSC 224,Discrete Structures,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626671,https://explorer.cuny.edu/receiving-course/062667/1
CSC 225,Introduction to Web Development and the Internet,"An introduction to the Internet and Web page creation and management, using a markup language, a scripting language, a current editor, and a graphics program. Topics include incorporating graphics, sound, video and proper Web page development concepts. Students will prepare Web pages incorporating text, digitized images, scripts, animations, sound, and video.  Prerequisites: MTH 123 or MTH 125.",https://csi-undergraduate.catalog.cuny.edu/courses/0626681,https://explorer.cuny.edu/receiving-course/062668/1
CSC 226,Web Database Applications,"This course offers students a mixture of theoretical and practical information on creating Web database applications.  Students will learn open source technologies that are often combined to develop these applications.  Student will model and design databases and query remotely located databases on the Web.  Searching, browsing, storing user data, validating user input, managing user transactions, and security issues are discussed.  Prerequisites:  CSC 126 with a grade of C or higher.",https://csi-undergraduate.catalog.cuny.edu/courses/0626691,https://explorer.cuny.edu/receiving-course/062669/1
CSC 227,Introductory Computer Game Programming,"This course covers the process of game development.  It also discusses the importance of testing, and how developers use the results of testing to improve their games.  Students will be expected to develop simple games, or portions of games, using appropriate game development tools.",https://csi-undergraduate.catalog.cuny.edu/courses/0626701,https://explorer.cuny.edu/receiving-course/062670/1
CSC 228,Discrete Mathematical Structures for Computer Science,"A discrete mathematics course where concepts of discrete structures will be applied to computer science. Topics include elementary set theory, logic, functions, relations, Boolean algebra, elements of graph theory, matrix representation of graphs, matrix manipulations, mathematical induction, counting techniques and discrete probability theory.",https://csi-undergraduate.catalog.cuny.edu/courses/0626711,https://explorer.cuny.edu/receiving-course/062671/1
CSC 229,Introduction to High Performance Computing,An introduction to High Performance Computing.  Parallel memory architectures and programming models with an emphasis on the MPI programming model.  Issues related to designing parallel programs will be discussed.  Examples of how to parallelize simple serial programs will be covered. Prerequisites: CSC 126 with a grade of C or higher.,https://csi-undergraduate.catalog.cuny.edu/courses/1087091,https://explorer.cuny.edu/receiving-course/108709/1
CSC 230,Job Control Language,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626721,https://explorer.cuny.edu/receiving-course/062672/1
CSC 231,Program Workshop I,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626731,https://explorer.cuny.edu/receiving-course/062673/1
CSC 235,Robotic Explorations,"This course focuses on the theory behind robots and how it applies to existing platforms in the lab and in the field.  Students will be introduced to the fundamentals of robotics.  Concepts such as robot architectures, sensing, control, locomotion, and ethics are explored via hands-on exercises using multiple robot platforms.Prerequisite: CSC 126 with a grade of C or higher & MTH 123 or MTH 125.",https://csi-undergraduate.catalog.cuny.edu/courses/1238371,https://explorer.cuny.edu/receiving-course/123837/1
CSC 237,Computer Science and Linguistics,"(CSC 237/LING 437)  This course will introduce students to the software development techniques foundational to work in computationallinguistics and natural language processing. Relying heavily on the Python language, students will write programs to process text stored invarious structured data formats, and learn to use best practices including unit tests, documentation, and source control. Coursework will culminate in a final project in which students write well-structured, reusable code for a language processing task with an identifiable use case.",https://csi-undergraduate.catalog.cuny.edu/courses/1527231,https://explorer.cuny.edu/receiving-course/152723/1
CSC 240,C Programming,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626741,https://explorer.cuny.edu/receiving-course/062674/1
CSC 245,Introduction to Data Science,"Basic concepts in data science. Topics covered are data collection, integration, management, modeling, analysis, visualization, prediction and decision making, data security and data privacy. Important statistical methods will be explored. Emphasis will be on applying data analysis methods to real-world data. Metrics for evaluating the quality of various methods will be presented.  Students will complete hands-on experiments for analyzing and visualizing data sets using GUI interfaced software and Python programming in the labs.",https://csi-undergraduate.catalog.cuny.edu/courses/1504171,https://explorer.cuny.edu/receiving-course/150417/1
CSC 250,Serious Game Development,"This course covers the process of serious game development including research games.  It also discusses principles from game-based learning.  Students will be expected to develop simple games, or portions of games, using appropriate game developing tools.",https://csi-undergraduate.catalog.cuny.edu/courses/1522221,https://explorer.cuny.edu/receiving-course/152222/1
CSC 252,Text Editing Systems,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626751,https://explorer.cuny.edu/receiving-course/062675/1
CSC 260,Operations I,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626761,https://explorer.cuny.edu/receiving-course/062676/1
CSC 262,Operations II,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0626771,https://explorer.cuny.edu/receiving-course/062677/1
